	cancer	sample	D_APOBEC_inRloops	D_APOBEC_outsideRloops
49	BRCA	47b5d831-5287-4f62-b17a-6e5eff2e4184	1.3537365365015634e-06	1.4979958358651835e-06
50	BRCA	4d409156-3a36-4c63-9ad6-b6af34f27b06	2.1777500804590367e-06	3.6940577312435423e-06
51	BRCA	4e84eed6-82a8-4e91-b0fd-61ec6ef69ce9	2.001175749611007e-06	2.726352421274634e-06
52	BRCA	546b982f-60d9-43df-9761-09369afbee2d	1.4125946467842402e-06	1.3182363355613615e-06
53	BRCA	5a535c49-d42e-43c6-9d32-dc76f28d4f0f	9.417297645228267e-07	1.126492868570618e-06
54	BRCA	5b7d5767-2037-4175-aec9-886776343181	8.946432762966854e-06	8.176061272152172e-06
55	BRCA	5dbf3203-ce73-41e4-bf9a-32fc856f73f5	5.1795137048755465e-06	6.884788861636383e-06
56	BRCA	6764e0a2-7a78-45c1-9189-6001c6518ce4	1.0005878748055033e-05	1.1327844510812518e-05
57	BRCA	6c65cb6d-8c50-4c7c-bc84-eeebe09fbe01	2.4131825215897434e-06	2.564568871001194e-06
58	BRCA	6c8e9197-fd16-4fed-bfda-e349cab26314	4.885223153462164e-06	7.343175587411129e-06
59	BRCA	6d7f44df-e9f0-4542-a6d8-d14ee7804002	4.120067719787367e-07	8.508616347714242e-07
60	BRCA	6dbc5c31-043b-40e9-bf1a-e7b4ec351b4d	5.709236697419637e-06	7.454027279265153e-06
61	BRCA	6e839eaf-1dbb-43f5-8846-c980e05540c7	4.120067719787367e-06	6.006963301819386e-06
62	BRCA	71fda5a9-7049-406f-9348-2c24f7ddf5f4	4.1789258300700435e-06	4.089528631911951e-06
63	BRCA	73936e8b-c893-4afd-bd1f-be90c06a4869	1.23602031593621e-06	1.902454711548783e-06
64	BRCA	74039acd-5aca-4c65-818c-3b577d295be0	2.2954663010243902e-06	2.390801354040833e-06
65	BRCA	7456abd5-303e-4e6f-bf4e-47efefc7310f	2.47204063187242e-06	2.9270838632805686e-06
66	BRCA	74b57d2c-a83f-4798-b86b-a533975e4cc0	6.70982457222514e-06	8.946031131786875e-06
67	BRCA	7b08e810-f3c9-4155-ac11-f45a3a4f8b41	4.06120960950469e-06	4.434067674160943e-06
68	BRCA	7b0b60c7-5fa0-440e-937f-8d82119330d6	2.7663311832858036e-06	2.324889537262765e-06
69	BRCA	7cdbe0e8-f614-4f54-b864-fd6b39e8ef1c	3.5962305382715445e-05	3.7093372887693676e-05
70	BRCA	84c77098-03d0-4b22-afb1-797703e85c6c	9.35843953494559e-06	9.904748466740594e-06
71	BRCA	8691c87f-2468-44bb-a670-3dccd6da33c6	2.107120348119825e-05	3.227282228787951e-05
